Title,Price,link,Date
"2018 Microsoft Surface Laptop 2 avec Intel Core i5-8250U (13,5-pouces, 8 Go RAM, 128 Go SSD) (QWERTY Anglais) Platine (Reconditionné)","248,,89 €",https://www.amazon.fr/Microsoft-Ordinateur-Portable-g%C3%A9n%C3%A9ration-Reconditionn%C3%A9/dp/B0BF5XK624/ref=sr_1_55,2025-07-23
"ACEMAGIC 16 Inch 2025 Ryzen 7 5825U Huit-Core Laptop (8C/16T, 4.5GHz) Metal Case Laptops 16GB DDR4.512GB RAM Support 4TB Extender, Backlit Keyboard, WiFi 6, BT5.2, Type C","459.,99 €",https://www.amazon.fr/ACEMAGIC-Ordinateur-Portable-Portables-R%C3%A9tro%C3%A9clairage/dp/B0D95VPM4M/ref=sr_1_56,2025-07-23
"Ekonavi Ordinateur Portable en métal, Core i3-1115G4 processeur 16 Go de RAM 512 Go de SSD, PC Portable avec écran 14 Pouces 1920x1080, 2 * Type-C, 2 * USB3.2, 7000mAh, HDMI, Wi-FI 6 Laptop","269,,99 €",https://www.amazon.fr/Ekonavi-Ordinateur-i3-1115G4-processeur-1920x1080/dp/B0DSL9DL4S/ref=sr_1_57,2025-07-23
"HP Chromebook 14a-nf0001sf Ordinateur Portable 14"" HD, PC Portable (Intel Celeron N100, RAM 4 Go, Flash 128 Go, Intel Iris Xe, Chrome OS), Laptop Gris, Clavier AZERTY","299,,00 €",https://www.amazon.fr/HP-Chromebook-14a-nf0001sf-Pixels-ChromeOS/dp/B0CXZDCNMZ/ref=sr_1_58,2025-07-23
Lenovo ThinkPad T470 | 1920 x 1080 Full HD | Intel Core i5-6300U | Windows 11 Pro | Norton Antivirus | Notebook Laptop Business (reconditionné) (500 Go - 16 Go de RAM),"264,,90 €",https://www.amazon.fr/Lenovo-ThinkPad-i5-6300U-Antivirus-reconditionn%C3%A9/dp/B0CM1FCK4P/ref=sr_1_59,2025-07-23
"ASUS Vivobook 16 N1604XA-MB042W 16 Inch WUXGA Laptop (AMD Ryzen 9 7940HS 5.2GHz Processor, 16GB DDR5, 1TB NVMe PCIe 4.0 SSD, AMD Radeon Graphics) Windows 11 Home - AZERTY Keyboard - Black","849.,99 €",https://www.amazon.fr/Vivobook-N1604XA-MB042W-Portable-Processeur-Graphics/dp/B09T9BLL34/ref=sr_1_60,2025-07-23
"Ekonavi Ordinateur Portable en métal, Core i3-1115G4 processeur 16 Go de RAM 512 Go de SSD, PC Portable avec écran 14 Pouces 1920x1080, 2 * Type-C, 2 * USB3.2, 7000mAh, HDMI, Wi-FI 6 Laptop","269,,99 €",https://www.amazon.fr/Ekonavi-Ordinateur-i3-1115G4-processeur-1920x1080/dp/B0DSL9DL4S/ref=sr_1_53,2025-07-23
"2018 Microsoft Surface Laptop 2 with Intel Core i5-8250U (13.5-inch, 8GB RAM, 256GB SSD) (AZERTY French) Platinum (Refurbished)","267.,89 €",https://www.amazon.fr/Microsoft-i5-8250U-5-pouces-Fran%C3%A7ais-Reconditionn%C3%A9/dp/B0DYF536TK/ref=sr_1_54,2025-07-23
"2018 Microsoft Surface Laptop 2 avec Intel Core i5-8250U (13,5-pouces, 8 GB RAM, 256 GB SSD) (QWERTY Anglais) Argent (Reconditionné)","207,,89 €",https://www.amazon.fr/Microsoft-Surface-i5-8250U-5-Pouces-Reconditionn%C3%A9/dp/B07SBGXM7X/ref=sr_1_55,2025-07-23
"Lenovo IdeaPad Slim 3 14IRH8 – 14 Inch FHD Laptop (Intel Core i7-13620H, 16GB RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home) French AZERTY Keyboard – Grey","798.,00 €",https://www.amazon.fr/Lenovo-IdeaPad-Slim-14IRH8-Ordinateur/dp/B0DB1WJYVP/ref=sr_1_56,2025-07-23
